,Player,Share,predictions,Rk,Predicted_Rk
10257,Giannis Antetokounmpo,0.345,0.20609570327395854,4,1
8993,Joel Embiid,0.58,0.1607866039424417,2,2
626,Nikola Jokić,0.961,0.15248798405368053,1,3
11267,Luka Dončić,0.042,0.15164772263688353,6,4
3936,LeBron James,0.001,0.1480362513980828,15,5
3851,Stephen Curry,0.449,0.14221490064995662,3,6
4405,Kevin Durant,0.0,0.1419981702769622,531,7
4402,James Harden,0.001,0.1409378287553556,13,8
12156,Zion Williamson,0.0,0.127653040023739,251,9
4098,Russell Westbrook,0.005,0.12100049317996159,11,10
